,Date,Usage (kWh),Cost ($),Hi,Low
0,2020-08-25 00:00:00,1.1,0.13,94,79
1,2020-08-25 01:00:00,1.2,0.14,94,79
2,2020-08-25 02:00:00,1.0,0.12,94,79
3,2020-08-25 03:00:00,1.0,0.12,94,79
4,2020-08-25 04:00:00,1.5,0.18,94,79
5,2020-08-25 05:00:00,1.0,0.11,94,79
6,2020-08-25 06:00:00,1.0,0.12,94,79
7,2020-08-25 07:00:00,0.9,0.11,94,79
8,2020-08-25 08:00:00,1.1,0.12,94,79
9,2020-08-25 09:00:00,1.4,0.16,94,79
10,2020-08-25 10:00:00,1.7,0.2,94,79
11,2020-08-25 11:00:00,1.9,0.22,94,79
12,2020-08-25 12:00:00,1.6,0.19,94,79
13,2020-08-25 13:00:00,2.2,0.26,94,79
14,2020-08-25 14:00:00,1.7,0.2,94,79
15,2020-08-25 15:00:00,1.7,0.2,94,79
16,2020-08-25 16:00:00,1.7,0.2,94,79
17,2020-08-25 17:00:00,1.7,0.2,94,79
18,2020-08-25 18:00:00,1.7,0.2,94,79
19,2020-08-25 19:00:00,1.7,0.2,94,79
20,2020-08-25 20:00:00,1.7,0.2,94,79
21,2020-08-25 21:00:00,1.7,0.2,94,79
22,2020-08-25 22:00:00,1.7,0.2,94,79
23,2020-08-25 23:00:00,1.7,0.19,94,79
24,2020-08-26 00:00:00,1.3,0.15,94,80
25,2020-08-26 01:00:00,1.2,0.14,94,80
26,2020-08-26 02:00:00,1.1,0.13,94,80
27,2020-08-26 03:00:00,1.0,0.12,94,80
28,2020-08-26 04:00:00,1.0,0.12,94,80
29,2020-08-26 05:00:00,1.0,0.12,94,80
30,2020-08-26 06:00:00,0.9,0.11,94,80
31,2020-08-26 07:00:00,0.9,0.1,94,80
32,2020-08-26 08:00:00,1.4,0.16,94,80
33,2020-08-26 09:00:00,1.0,0.12,94,80
34,2020-08-26 10:00:00,1.5,0.18,94,80
35,2020-08-26 11:00:00,1.7,0.2,94,80
36,2020-08-26 12:00:00,1.7,0.2,94,80
37,2020-08-26 13:00:00,1.7,0.2,94,80
38,2020-08-26 14:00:00,1.7,0.2,94,80
39,2020-08-26 15:00:00,1.7,0.2,94,80
40,2020-08-26 16:00:00,1.7,0.2,94,80
41,2020-08-26 17:00:00,2.2,0.25,94,80
42,2020-08-26 18:00:00,1.7,0.2,94,80
43,2020-08-26 19:00:00,1.4,0.16,94,80
44,2020-08-26 20:00:00,1.2,0.14,94,80
45,2020-08-26 21:00:00,1.1,0.13,94,80
46,2020-08-26 22:00:00,1.1,0.13,94,80
47,2020-08-26 23:00:00,1.0,0.11,94,80
48,2020-08-27 00:00:00,1.0,0.12,92,78
49,2020-08-27 01:00:00,1.0,0.12,92,78
50,2020-08-27 02:00:00,1.4,0.16,92,78
51,2020-08-27 03:00:00,0.8,0.1,92,78
52,2020-08-27 04:00:00,0.8,0.1,92,78
53,2020-08-27 05:00:00,0.9,0.1,92,78
54,2020-08-27 06:00:00,0.8,0.1,92,78
55,2020-08-27 07:00:00,0.8,0.1,92,78
56,2020-08-27 08:00:00,0.9,0.11,92,78
57,2020-08-27 09:00:00,1.6,0.19,92,78
58,2020-08-27 10:00:00,1.7,0.2,92,78
59,2020-08-27 11:00:00,2.2,0.25,92,78
60,2020-08-27 12:00:00,1.7,0.2,92,78
61,2020-08-27 13:00:00,1.7,0.2,92,78
62,2020-08-27 14:00:00,1.7,0.2,92,78
63,2020-08-27 15:00:00,1.7,0.2,92,78
64,2020-08-27 16:00:00,1.7,0.2,92,78
65,2020-08-27 17:00:00,1.7,0.2,92,78
66,2020-08-27 18:00:00,1.7,0.2,92,78
67,2020-08-27 19:00:00,1.7,0.2,92,78
68,2020-08-27 20:00:00,1.8,0.21,92,78
69,2020-08-27 21:00:00,2.2,0.26,92,78
70,2020-08-27 22:00:00,1.7,0.2,92,78
71,2020-08-27 23:00:00,1.5,0.18,92,78
72,2020-08-28 00:00:00,1.4,0.16,95,83
73,2020-08-28 01:00:00,1.2,0.15,95,83
74,2020-08-28 02:00:00,1.0,0.12,95,83
75,2020-08-28 03:00:00,1.1,0.13,95,83
76,2020-08-28 04:00:00,1.1,0.13,95,83
77,2020-08-28 05:00:00,1.0,0.11,95,83
78,2020-08-28 06:00:00,1.6,0.19,95,83
79,2020-08-28 07:00:00,1.0,0.12,95,83
80,2020-08-28 08:00:00,1.4,0.16,95,83
81,2020-08-28 09:00:00,1.7,0.2,95,83
