,Date,Usage (kWh),Cost ($),Hi,Low
82,2020-08-28 10:00:00,1.7,0.2,95,83
83,2020-08-28 11:00:00,1.7,0.2,95,83
84,2020-08-28 12:00:00,1.7,0.2,95,83
85,2020-08-28 13:00:00,1.7,0.2,95,83
86,2020-08-28 14:00:00,1.7,0.2,95,83
87,2020-08-28 15:00:00,1.7,0.2,95,83
88,2020-08-28 16:00:00,2.2,0.26,95,83
89,2020-08-28 17:00:00,1.7,0.2,95,83
90,2020-08-28 18:00:00,1.7,0.2,95,83
91,2020-08-28 19:00:00,1.9,0.22,95,83
92,2020-08-28 20:00:00,1.8,0.21,95,83
93,2020-08-28 21:00:00,1.8,0.21,95,83
94,2020-08-28 22:00:00,1.9,0.23,95,83
95,2020-08-28 23:00:00,2.0,0.23,95,83
96,2020-08-29 00:00:00,2.2,0.26,94,81
97,2020-08-29 01:00:00,1.8,0.2,94,81
98,2020-08-29 02:00:00,1.7,0.2,94,81
99,2020-08-29 03:00:00,1.7,0.2,94,81
100,2020-08-29 04:00:00,1.4,0.17,94,81
101,2020-08-29 05:00:00,1.3,0.15,94,81
102,2020-08-29 06:00:00,1.3,0.16,94,81
103,2020-08-29 07:00:00,1.3,0.15,94,81
104,2020-08-29 08:00:00,1.7,0.2,94,81
105,2020-08-29 09:00:00,1.8,0.2,94,81
106,2020-08-29 10:00:00,2.2,0.26,94,81
107,2020-08-29 11:00:00,1.8,0.21,94,81
108,2020-08-29 12:00:00,2.9,0.34,94,81
109,2020-08-29 13:00:00,3.0,0.36,94,81
110,2020-08-29 14:00:00,2.6,0.3,94,81
111,2020-08-29 15:00:00,2.0,0.23,94,81
112,2020-08-29 16:00:00,2.0,0.24,94,81
113,2020-08-29 17:00:00,2.6,0.3,94,81
114,2020-08-29 18:00:00,2.1,0.25,94,81
115,2020-08-29 19:00:00,2.2,0.26,94,81
116,2020-08-29 20:00:00,2.2,0.26,94,81
117,2020-08-29 21:00:00,2.3,0.26,94,81
118,2020-08-29 22:00:00,4.1,0.48,94,81
119,2020-08-29 23:00:00,4.0,0.47,94,81
120,2020-08-31 00:00:00,1.0,0.12,96,83
121,2020-08-31 01:00:00,0.9,0.11,96,83
122,2020-08-31 02:00:00,0.9,0.11,96,83
123,2020-08-31 03:00:00,0.9,0.1,96,83
124,2020-08-31 04:00:00,0.9,0.1,96,83
125,2020-08-31 05:00:00,0.8,0.1,96,83
126,2020-08-31 06:00:00,0.9,0.11,96,83
127,2020-08-31 07:00:00,0.8,0.1,96,83
128,2020-08-31 08:00:00,1.5,0.18,96,83
129,2020-08-31 09:00:00,1.1,0.13,96,83
130,2020-08-31 10:00:00,1.4,0.16,96,83
131,2020-08-31 11:00:00,1.6,0.19,96,83
132,2020-08-31 12:00:00,1.5,0.17,96,83
133,2020-08-31 13:00:00,1.5,0.18,96,83
134,2020-08-31 14:00:00,1.5,0.17,96,83
135,2020-08-31 15:00:00,1.5,0.18,96,83
136,2020-08-31 16:00:00,1.5,0.18,96,83
137,2020-08-31 17:00:00,2.0,0.23,96,83
138,2020-08-31 18:00:00,2.9,0.35,96,83
139,2020-08-31 19:00:00,4.0,0.47,96,83
140,2020-08-31 20:00:00,2.4,0.28,96,83
141,2020-08-31 21:00:00,2.9,0.34,96,83
142,2020-08-31 22:00:00,1.4,0.16,96,83
143,2020-08-31 23:00:00,0.9,0.11,96,83
144,2020-09-01 00:00:00,1.0,0.12,95,84
145,2020-09-01 01:00:00,1.0,0.12,95,84
146,2020-09-01 02:00:00,1.0,0.11,95,84
147,2020-09-01 03:00:00,1.0,0.11,95,84
148,2020-09-01 04:00:00,1.4,0.16,95,84
149,2020-09-01 05:00:00,1.0,0.12,95,84
150,2020-09-01 06:00:00,0.8,0.1,95,84
151,2020-09-01 07:00:00,0.9,0.11,95,84
152,2020-09-01 08:00:00,1.0,0.12,95,84
153,2020-09-01 09:00:00,1.4,0.16,95,84
154,2020-09-01 10:00:00,1.4,0.17,95,84
155,2020-09-01 11:00:00,1.3,0.16,95,84
156,2020-09-01 12:00:00,1.3,0.15,95,84
157,2020-09-01 13:00:00,1.5,0.17,95,84
158,2020-09-01 14:00:00,2.0,0.23,95,84
159,2020-09-01 15:00:00,1.5,0.17,95,84
160,2020-09-01 16:00:00,1.2,0.14,95,84
161,2020-09-01 17:00:00,1.5,0.17,95,84
162,2020-09-01 18:00:00,1.3,0.15,95,84
163,2020-09-01 19:00:00,1.5,0.18,95,84
164,2020-09-01 20:00:00,1.1,0.13,95,84
165,2020-09-01 21:00:00,1.0,0.12,95,84
166,2020-09-01 22:00:00,1.0,0.12,95,84
167,2020-09-01 23:00:00,0.9,0.11,95,84
168,2020-09-02 00:00:00,1.2,0.14,96,82
169,2020-09-02 01:00:00,1.2,0.14,96,82
170,2020-09-02 02:00:00,1.0,0.12,96,82
171,2020-09-02 03:00:00,0.9,0.11,96,82
172,2020-09-02 04:00:00,0.9,0.11,96,82
173,2020-09-02 05:00:00,0.9,0.11,96,82
174,2020-09-02 06:00:00,0.8,0.1,96,82
175,2020-09-02 07:00:00,0.8,0.1,96,82
176,2020-09-02 08:00:00,1.0,0.12,96,82
177,2020-09-02 09:00:00,1.4,0.16,96,82
178,2020-09-02 10:00:00,1.4,0.16,96,82
179,2020-09-02 11:00:00,1.8,0.22,96,82
180,2020-09-02 12:00:00,1.2,0.14,96,82
181,2020-09-02 13:00:00,1.4,0.17,96,82
182,2020-09-02 14:00:00,1.3,0.15,96,82
183,2020-09-02 15:00:00,1.4,0.17,96,82
184,2020-09-02 16:00:00,1.2,0.14,96,82
185,2020-09-02 17:00:00,1.4,0.16,96,82
186,2020-09-02 18:00:00,1.2,0.14,96,82
187,2020-09-02 19:00:00,1.2,0.14,96,82
188,2020-09-02 20:00:00,1.4,0.17,96,82
189,2020-09-02 21:00:00,1.0,0.12,96,82
190,2020-09-02 22:00:00,1.5,0.17,96,82
191,2020-09-02 23:00:00,0.9,0.11,96,82
192,2020-09-03 00:00:00,0.9,0.1,95,83
193,2020-09-03 01:00:00,1.0,0.12,95,83
194,2020-09-03 02:00:00,0.9,0.11,95,83
195,2020-09-03 03:00:00,1.0,0.12,95,83
196,2020-09-03 04:00:00,0.9,0.1,95,83
197,2020-09-03 05:00:00,0.8,0.1,95,83
198,2020-09-03 06:00:00,0.8,0.09,95,83
199,2020-09-03 07:00:00,0.8,0.1,95,83
200,2020-09-03 08:00:00,1.3,0.16,95,83
201,2020-09-03 09:00:00,0.9,0.1,95,83
202,2020-09-03 10:00:00,1.0,0.12,95,83
203,2020-09-03 11:00:00,0.9,0.11,95,83
204,2020-09-03 12:00:00,1.1,0.13,95,83
205,2020-09-03 13:00:00,1.1,0.13,95,83
206,2020-09-03 14:00:00,1.0,0.12,95,83
207,2020-09-03 15:00:00,1.0,0.12,95,83
208,2020-09-03 16:00:00,1.2,0.14,95,83
209,2020-09-03 17:00:00,1.1,0.13,95,83
210,2020-09-03 18:00:00,0.9,0.11,95,83
211,2020-09-03 19:00:00,1.9,0.22,95,83
212,2020-09-03 20:00:00,2.1,0.26,95,83
213,2020-09-03 21:00:00,0.7,0.08,95,83
214,2020-09-03 22:00:00,0.8,0.1,95,83
215,2020-09-03 23:00:00,0.8,0.09,95,83
216,2020-09-04 00:00:00,0.8,0.09,92,81
217,2020-09-04 01:00:00,0.8,0.09,92,81
218,2020-09-04 02:00:00,0.7,0.08,92,81
219,2020-09-04 03:00:00,0.7,0.08,92,81
220,2020-09-04 04:00:00,0.7,0.09,92,81
221,2020-09-04 05:00:00,0.5,0.06,92,81
222,2020-09-04 06:00:00,1.2,0.14,92,81
223,2020-09-04 07:00:00,0.5,0.07,92,81
224,2020-09-04 08:00:00,0.9,0.11,92,81
225,2020-09-04 09:00:00,1.0,0.12,92,81
226,2020-09-04 10:00:00,1.2,0.14,92,81
227,2020-09-04 11:00:00,1.1,0.14,92,81
228,2020-09-04 12:00:00,1.0,0.13,92,81
229,2020-09-04 13:00:00,1.2,0.14,92,81
230,2020-09-04 14:00:00,1.1,0.13,92,81
231,2020-09-04 15:00:00,1.1,0.14,92,81
232,2020-09-04 16:00:00,1.1,0.13,92,81
233,2020-09-04 17:00:00,2.2,0.26,92,81
234,2020-09-04 18:00:00,3.2,0.38,92,81
235,2020-09-04 19:00:00,2.7,0.32,92,81
236,2020-09-04 20:00:00,3.3,0.4,92,81
237,2020-09-04 21:00:00,4.5,0.54,92,81
238,2020-09-04 22:00:00,3.5,0.42,92,81
239,2020-09-04 23:00:00,2.5,0.3,92,81
240,2020-09-07 00:00:00,3.9,0.46,93,78
241,2020-09-07 01:00:00,3.5,0.41,93,78
242,2020-09-07 02:00:00,3.1,0.37,93,78
243,2020-09-07 03:00:00,1.7,0.2,93,78
244,2020-09-07 04:00:00,2.0,0.24,93,78
245,2020-09-07 05:00:00,1.1,0.13,93,78
246,2020-09-07 06:00:00,1.2,0.14,93,78
247,2020-09-07 07:00:00,1.2,0.15,93,78
248,2020-09-07 08:00:00,1.5,0.17,93,78
249,2020-09-07 09:00:00,1.8,0.21,93,78
250,2020-09-07 10:00:00,2.0,0.24,93,78
251,2020-09-07 11:00:00,2.0,0.24,93,78
252,2020-09-07 12:00:00,1.8,0.21,93,78
253,2020-09-07 13:00:00,3.5,0.42,93,78
254,2020-09-07 14:00:00,3.8,0.45,93,78
255,2020-09-07 15:00:00,2.4,0.29,93,78
256,2020-09-07 16:00:00,3.9,0.46,93,78
257,2020-09-07 17:00:00,1.9,0.22,93,78
258,2020-09-07 18:00:00,2.0,0.23,93,78
259,2020-09-07 19:00:00,2.1,0.25,93,78
260,2020-09-07 20:00:00,4.5,0.54,93,78
261,2020-09-07 21:00:00,4.3,0.51,93,78
262,2020-09-07 22:00:00,2.9,0.35,93,78
263,2020-09-07 23:00:00,2.0,0.24,93,78
264,2020-09-08 00:00:00,1.6,0.2,84,77
265,2020-09-08 01:00:00,1.5,0.18,84,77
266,2020-09-08 02:00:00,1.5,0.17,84,77
267,2020-09-08 03:00:00,1.4,0.16,84,77
268,2020-09-08 04:00:00,1.8,0.22,84,77
269,2020-09-08 05:00:00,1.2,0.14,84,77
270,2020-09-08 06:00:00,1.3,0.15,84,77
271,2020-09-08 07:00:00,1.6,0.19,84,77
272,2020-09-08 08:00:00,1.7,0.2,84,77
273,2020-09-08 09:00:00,1.6,0.19,84,77
274,2020-09-08 10:00:00,1.2,0.15,84,77
275,2020-09-08 11:00:00,2.1,0.25,84,77
276,2020-09-08 12:00:00,1.6,0.2,84,77
277,2020-09-08 13:00:00,2.6,0.31,84,77
278,2020-09-08 14:00:00,2.8,0.34,84,77
279,2020-09-08 15:00:00,1.9,0.23,84,77
280,2020-09-08 16:00:00,2.0,0.24,84,77
281,2020-09-08 17:00:00,2.1,0.25,84,77
282,2020-09-08 18:00:00,3.4,0.41,84,77
283,2020-09-08 19:00:00,6.5,0.77,84,77
284,2020-09-08 20:00:00,3.4,0.41,84,77
285,2020-09-08 21:00:00,2.7,0.33,84,77
286,2020-09-08 22:00:00,2.1,0.24,84,77
287,2020-09-08 23:00:00,2.1,0.25,84,77
288,2020-09-09 00:00:00,2.5,0.3,90,80
289,2020-09-09 01:00:00,1.6,0.19,90,80
290,2020-09-09 02:00:00,1.5,0.18,90,80
291,2020-09-09 03:00:00,1.4,0.17,90,80
292,2020-09-09 04:00:00,1.3,0.16,90,80
293,2020-09-09 05:00:00,1.3,0.16,90,80
294,2020-09-09 06:00:00,1.2,0.14,90,80
295,2020-09-09 07:00:00,2.0,0.24,90,80
296,2020-09-09 08:00:00,2.3,0.28,90,80
297,2020-09-09 09:00:00,2.4,0.29,90,80
298,2020-09-09 10:00:00,2.5,0.29,90,80
299,2020-09-09 11:00:00,2.4,0.29,90,80
300,2020-09-09 12:00:00,2.4,0.29,90,80
301,2020-09-09 13:00:00,3.0,0.36,90,80
302,2020-09-09 14:00:00,1.9,0.23,90,80
303,2020-09-09 15:00:00,2.2,0.26,90,80
304,2020-09-09 16:00:00,2.7,0.32,90,80
305,2020-09-09 17:00:00,2.2,0.26,90,80
306,2020-09-09 18:00:00,2.0,0.24,90,80
307,2020-09-09 19:00:00,1.8,0.22,90,80
308,2020-09-09 20:00:00,2.5,0.3,90,80
309,2020-09-09 21:00:00,2.3,0.27,90,80
310,2020-09-09 22:00:00,2.3,0.28,90,80
311,2020-09-09 23:00:00,2.0,0.24,90,80
312,2020-09-10 00:00:00,2.1,0.25,89,79
313,2020-09-10 01:00:00,1.3,0.16,89,79
314,2020-09-10 02:00:00,1.4,0.17,89,79
315,2020-09-10 03:00:00,1.2,0.15,89,79
316,2020-09-10 04:00:00,1.3,0.15,89,79
317,2020-09-10 05:00:00,1.1,0.13,89,79
318,2020-09-10 06:00:00,1.1,0.14,89,79
319,2020-09-10 07:00:00,1.1,0.14,89,79
320,2020-09-10 08:00:00,2.3,0.28,89,79
321,2020-09-10 09:00:00,1.6,0.2,89,79
322,2020-09-10 10:00:00,1.6,0.19,89,79
323,2020-09-10 11:00:00,1.4,0.16,89,79
324,2020-09-10 12:00:00,1.4,0.16,89,79
325,2020-09-10 13:00:00,1.7,0.21,89,79
326,2020-09-10 14:00:00,2.0,0.25,89,79
327,2020-09-10 15:00:00,1.7,0.21,89,79
328,2020-09-10 16:00:00,1.6,0.19,89,79
329,2020-09-10 17:00:00,2.1,0.26,89,79
330,2020-09-10 18:00:00,1.7,0.2,89,79
331,2020-09-10 19:00:00,1.6,0.19,89,79
332,2020-09-10 20:00:00,1.7,0.2,89,79
333,2020-09-10 21:00:00,1.7,0.2,89,79
334,2020-09-10 22:00:00,1.5,0.18,89,79
335,2020-09-10 23:00:00,1.7,0.2,89,79
336,2020-09-11 00:00:00,1.1,0.14,86,73
337,2020-09-11 01:00:00,1.1,0.13,86,73
338,2020-09-11 02:00:00,1.0,0.12,86,73
339,2020-09-11 03:00:00,1.0,0.12,86,73
340,2020-09-11 04:00:00,0.9,0.11,86,73
341,2020-09-11 05:00:00,0.9,0.11,86,73
342,2020-09-11 06:00:00,0.8,0.09,86,73
343,2020-09-11 07:00:00,0.8,0.1,86,73
344,2020-09-11 08:00:00,0.9,0.1,86,73
345,2020-09-11 09:00:00,1.9,0.23,86,73
346,2020-09-11 10:00:00,1.8,0.21,86,73
347,2020-09-11 11:00:00,1.9,0.23,86,73
348,2020-09-11 12:00:00,2.7,0.32,86,73
349,2020-09-11 13:00:00,2.9,0.35,86,73
350,2020-09-11 14:00:00,2.2,0.27,86,73
351,2020-09-11 15:00:00,2.1,0.25,86,73
352,2020-09-11 16:00:00,1.9,0.23,86,73
353,2020-09-11 17:00:00,1.5,0.18,86,73
354,2020-09-11 18:00:00,1.7,0.2,86,73
355,2020-09-11 19:00:00,1.2,0.15,86,73
356,2020-09-11 20:00:00,1.2,0.15,86,73
357,2020-09-11 21:00:00,3.8,0.46,86,73
358,2020-09-11 22:00:00,4.1,0.49,86,73
359,2020-09-11 23:00:00,2.7,0.33,86,73
360,2020-09-12 00:00:00,2.1,0.25,96,77
361,2020-09-12 01:00:00,2.4,0.29,96,77
362,2020-09-12 02:00:00,1.5,0.18,96,77
363,2020-09-12 03:00:00,1.5,0.18,96,77
364,2020-09-12 04:00:00,1.3,0.15,96,77
365,2020-09-12 05:00:00,1.2,0.15,96,77
366,2020-09-12 06:00:00,1.2,0.14,96,77
367,2020-09-12 07:00:00,1.2,0.14,96,77
368,2020-09-12 08:00:00,1.4,0.16,96,77
369,2020-09-12 09:00:00,2.0,0.24,96,77
370,2020-09-12 10:00:00,2.3,0.28,96,77
371,2020-09-12 11:00:00,2.5,0.3,96,77
372,2020-09-12 12:00:00,3.3,0.4,96,77
373,2020-09-12 13:00:00,2.8,0.34,96,77
374,2020-09-12 14:00:00,2.0,0.24,96,77
375,2020-09-12 15:00:00,1.8,0.22,96,77
376,2020-09-12 16:00:00,3.6,0.44,96,77
377,2020-09-12 17:00:00,3.9,0.47,96,77
378,2020-09-12 18:00:00,3.4,0.42,96,77
379,2020-09-12 19:00:00,2.6,0.31,96,77
380,2020-09-12 20:00:00,3.3,0.39,96,77
381,2020-09-12 21:00:00,3.1,0.38,96,77
382,2020-09-12 22:00:00,2.1,0.25,96,77
383,2020-09-12 23:00:00,2.0,0.24,96,77
384,2020-09-13 00:00:00,1.7,0.2,92,78
385,2020-09-13 01:00:00,1.4,0.17,92,78
386,2020-09-13 02:00:00,1.4,0.17,92,78
387,2020-09-13 03:00:00,1.4,0.17,92,78
388,2020-09-13 04:00:00,1.2,0.15,92,78
389,2020-09-13 05:00:00,1.2,0.15,92,78
390,2020-09-13 06:00:00,1.2,0.15,92,78
391,2020-09-13 07:00:00,1.8,0.21,92,78
392,2020-09-13 08:00:00,1.7,0.21,92,78
393,2020-09-13 09:00:00,1.9,0.22,92,78
394,2020-09-13 10:00:00,1.7,0.21,92,78
395,2020-09-13 11:00:00,2.3,0.27,92,78
396,2020-09-13 12:00:00,2.2,0.27,92,78
397,2020-09-13 13:00:00,2.0,0.23,92,78
398,2020-09-13 14:00:00,1.7,0.2,92,78
399,2020-09-13 15:00:00,2.2,0.26,92,78
400,2020-09-13 16:00:00,1.5,0.18,92,78
401,2020-09-13 17:00:00,1.4,0.17,92,78
402,2020-09-13 18:00:00,1.8,0.22,92,78
403,2020-09-13 19:00:00,2.2,0.26,92,78
404,2020-09-13 20:00:00,2.0,0.24,92,78
405,2020-09-13 21:00:00,1.8,0.22,92,78
406,2020-09-13 22:00:00,2.4,0.29,92,78
407,2020-09-13 23:00:00,1.9,0.22,92,78
408,2020-09-14 00:00:00,2.1,0.25,89,79
409,2020-09-14 01:00:00,1.8,0.22,89,79
410,2020-09-14 02:00:00,1.7,0.2,89,79
411,2020-09-14 03:00:00,1.5,0.18,89,79
412,2020-09-14 04:00:00,1.4,0.17,89,79
413,2020-09-14 05:00:00,1.4,0.17,89,79
414,2020-09-14 06:00:00,1.3,0.15,89,79
415,2020-09-14 07:00:00,1.2,0.15,89,79
416,2020-09-14 08:00:00,1.3,0.15,89,79
417,2020-09-14 09:00:00,2.5,0.3,89,79
418,2020-09-14 10:00:00,2.1,0.25,89,79
419,2020-09-14 11:00:00,2.2,0.27,89,79
420,2020-09-14 12:00:00,3.1,0.37,89,79
421,2020-09-14 13:00:00,3.0,0.36,89,79
422,2020-09-14 14:00:00,2.3,0.27,89,79
423,2020-09-14 15:00:00,2.3,0.28,89,79
424,2020-09-14 16:00:00,2.4,0.28,89,79
425,2020-09-14 17:00:00,2.3,0.28,89,79
426,2020-09-14 18:00:00,3.1,0.38,89,79
427,2020-09-14 19:00:00,2.9,0.35,89,79
428,2020-09-14 20:00:00,3.7,0.45,89,79
429,2020-09-14 21:00:00,2.3,0.27,89,79
430,2020-09-14 22:00:00,2.8,0.34,89,79
431,2020-09-14 23:00:00,2.1,0.26,89,79
432,2020-09-15 00:00:00,2.1,0.25,93,79
433,2020-09-15 01:00:00,1.9,0.23,93,79
434,2020-09-15 02:00:00,1.6,0.19,93,79
435,2020-09-15 03:00:00,1.5,0.18,93,79
436,2020-09-15 04:00:00,1.4,0.17,93,79
437,2020-09-15 05:00:00,1.4,0.17,93,79
438,2020-09-15 06:00:00,1.4,0.17,93,79
439,2020-09-15 07:00:00,1.3,0.16,93,79
440,2020-09-15 08:00:00,2.1,0.26,93,79
441,2020-09-15 09:00:00,2.1,0.25,93,79
442,2020-09-15 10:00:00,2.5,0.3,93,79
443,2020-09-15 11:00:00,2.6,0.32,93,79
444,2020-09-15 12:00:00,2.3,0.28,93,79
445,2020-09-15 13:00:00,2.7,0.33,93,79
446,2020-09-15 14:00:00,2.5,0.31,93,79
447,2020-09-15 15:00:00,2.7,0.33,93,79
448,2020-09-15 16:00:00,2.4,0.3,93,79
449,2020-09-15 17:00:00,2.3,0.28,93,79
450,2020-09-15 18:00:00,2.7,0.33,93,79
451,2020-09-15 19:00:00,2.2,0.26,93,79
452,2020-09-15 20:00:00,2.3,0.27,93,79
453,2020-09-15 21:00:00,2.1,0.25,93,79
454,2020-09-15 22:00:00,1.8,0.22,93,79
455,2020-09-15 23:00:00,2.0,0.24,93,79
456,2020-09-16 00:00:00,1.7,0.2,95,80
457,2020-09-16 01:00:00,1.4,0.17,95,80
458,2020-09-16 02:00:00,1.3,0.16,95,80
459,2020-09-16 03:00:00,1.3,0.15,95,80
460,2020-09-16 04:00:00,1.7,0.21,95,80
461,2020-09-16 05:00:00,1.2,0.14,95,80
462,2020-09-16 06:00:00,1.2,0.14,95,80
463,2020-09-16 07:00:00,1.2,0.14,95,80
464,2020-09-16 08:00:00,1.5,0.18,95,80
465,2020-09-16 09:00:00,2.1,0.25,95,80
466,2020-09-16 10:00:00,2.1,0.26,95,80
467,2020-09-16 11:00:00,2.2,0.27,95,80
468,2020-09-16 12:00:00,2.2,0.27,95,80
469,2020-09-16 13:00:00,2.7,0.33,95,80
470,2020-09-16 14:00:00,2.4,0.28,95,80
471,2020-09-16 15:00:00,2.5,0.3,95,80
472,2020-09-16 16:00:00,3.6,0.43,95,80
473,2020-09-16 17:00:00,3.2,0.39,95,80
474,2020-09-16 18:00:00,2.1,0.26,95,80
475,2020-09-16 19:00:00,2.2,0.27,95,80
476,2020-09-16 20:00:00,2.6,0.31,95,80
477,2020-09-16 21:00:00,3.6,0.43,95,80
478,2020-09-16 22:00:00,2.4,0.29,95,80
479,2020-09-16 23:00:00,2.8,0.33,95,80
480,2020-09-17 00:00:00,2.0,0.25,89,81
481,2020-09-17 01:00:00,1.8,0.21,89,81
482,2020-09-17 02:00:00,1.7,0.21,89,81
483,2020-09-17 03:00:00,1.5,0.18,89,81
484,2020-09-17 04:00:00,1.3,0.16,89,81
485,2020-09-17 05:00:00,1.5,0.18,89,81
486,2020-09-17 06:00:00,1.2,0.15,89,81
487,2020-09-17 07:00:00,1.3,0.16,89,81
488,2020-09-17 08:00:00,2.4,0.29,89,81
489,2020-09-17 09:00:00,1.6,0.2,89,81
490,2020-09-17 10:00:00,1.7,0.21,89,81
491,2020-09-17 11:00:00,2.1,0.25,89,81
492,2020-09-17 12:00:00,2.7,0.33,89,81
493,2020-09-17 13:00:00,2.1,0.26,89,81
494,2020-09-17 14:00:00,2.5,0.31,89,81
495,2020-09-17 15:00:00,3.1,0.38,89,81
496,2020-09-17 16:00:00,2.3,0.27,89,81
497,2020-09-17 17:00:00,2.5,0.3,89,81
498,2020-09-17 18:00:00,1.9,0.23,89,81
499,2020-09-17 19:00:00,2.0,0.24,89,81
500,2020-09-17 20:00:00,2.1,0.25,89,81
501,2020-09-17 21:00:00,1.9,0.24,89,81
502,2020-09-17 22:00:00,1.9,0.23,89,81
503,2020-09-17 23:00:00,1.8,0.22,89,81
504,2020-09-18 00:00:00,1.4,0.17,86,78
505,2020-09-18 01:00:00,1.8,0.22,86,78
506,2020-09-18 02:00:00,1.2,0.14,86,78
507,2020-09-18 03:00:00,1.1,0.14,86,78
508,2020-09-18 04:00:00,1.2,0.14,86,78
509,2020-09-18 05:00:00,1.1,0.14,86,78
510,2020-09-18 06:00:00,1.1,0.14,86,78
511,2020-09-18 07:00:00,1.1,0.14,86,78
512,2020-09-18 08:00:00,1.2,0.15,86,78
513,2020-09-18 09:00:00,1.9,0.23,86,78
514,2020-09-18 10:00:00,1.5,0.18,86,78
515,2020-09-18 11:00:00,1.7,0.21,86,78
