Date,Usage (kWh),Cost ($),Hi,Low
2020-12-07 00:00:00,0.8,0.1,64,44
2020-12-07 01:00:00,0.3,0.03,64,44
2020-12-07 02:00:00,0.2,0.03,64,44
2020-12-07 03:00:00,0.3,0.03,64,44
2020-12-07 04:00:00,0.2,0.03,64,44
2020-12-07 05:00:00,0.2,0.03,64,44
2020-12-07 06:00:00,0.2,0.03,64,44
2020-12-07 07:00:00,0.2,0.03,64,44
2020-12-07 08:00:00,0.2,0.03,64,44
2020-12-07 09:00:00,1.0,0.13,64,44
2020-12-07 10:00:00,0.5,0.07,64,44
2020-12-07 11:00:00,0.7,0.09,64,44
2020-12-07 12:00:00,0.9,0.11,64,44
2020-12-07 13:00:00,1.4,0.18,64,44
2020-12-07 14:00:00,1.2,0.15,64,44
2020-12-07 15:00:00,1.0,0.12,64,44
2020-12-07 16:00:00,1.0,0.12,64,44
2020-12-07 17:00:00,0.8,0.1,64,44
2020-12-07 18:00:00,0.9,0.11,64,44
2020-12-07 19:00:00,1.3,0.17,64,44
2020-12-07 20:00:00,3.8,0.48,64,44
2020-12-07 21:00:00,2.2,0.28,64,44
2020-12-07 22:00:00,0.6,0.08,64,44
2020-12-07 23:00:00,0.5,0.07,64,44
2020-12-08 00:00:00,0.5,0.06,71,43
2020-12-08 01:00:00,0.5,0.06,71,43
2020-12-08 02:00:00,0.5,0.06,71,43
2020-12-08 03:00:00,0.5,0.06,71,43
2020-12-08 04:00:00,0.5,0.06,71,43
2020-12-08 05:00:00,1.0,0.13,71,43
2020-12-08 06:00:00,0.5,0.06,71,43
2020-12-08 07:00:00,0.5,0.06,71,43
2020-12-08 08:00:00,0.5,0.06,71,43
2020-12-08 09:00:00,0.6,0.08,71,43
2020-12-08 10:00:00,0.5,0.07,71,43
2020-12-08 11:00:00,0.5,0.07,71,43
2020-12-08 12:00:00,1.0,0.13,71,43
2020-12-08 13:00:00,0.9,0.11,71,43
2020-12-08 14:00:00,1.4,0.17,71,43
2020-12-08 15:00:00,1.3,0.16,71,43
2020-12-08 16:00:00,1.0,0.12,71,43
2020-12-08 17:00:00,0.8,0.1,71,43
2020-12-08 18:00:00,1.7,0.21,71,43
2020-12-08 19:00:00,3.7,0.47,71,43
2020-12-08 20:00:00,2.7,0.34,71,43
2020-12-08 21:00:00,1.1,0.14,71,43
2020-12-08 22:00:00,0.7,0.09,71,43
2020-12-08 23:00:00,0.4,0.05,71,43
2020-12-09 00:00:00,0.4,0.05,77,47
2020-12-09 01:00:00,0.4,0.05,77,47
2020-12-09 02:00:00,0.4,0.05,77,47
2020-12-09 03:00:00,0.4,0.05,77,47
2020-12-09 04:00:00,0.9,0.11,77,47
2020-12-09 05:00:00,0.4,0.05,77,47
2020-12-09 06:00:00,0.4,0.05,77,47
2020-12-09 07:00:00,0.4,0.05,77,47
2020-12-09 08:00:00,0.6,0.07,77,47
2020-12-09 09:00:00,0.6,0.08,77,47
2020-12-09 10:00:00,0.6,0.07,77,47
2020-12-09 11:00:00,1.0,0.13,77,47
2020-12-09 12:00:00,1.4,0.18,77,47
2020-12-09 13:00:00,1.0,0.13,77,47
2020-12-09 14:00:00,1.5,0.19,77,47
2020-12-09 15:00:00,1.4,0.17,77,47
2020-12-09 16:00:00,1.5,0.19,77,47
2020-12-09 17:00:00,1.0,0.13,77,47
2020-12-09 18:00:00,1.0,0.13,77,47
2020-12-09 19:00:00,1.0,0.12,77,47
2020-12-09 20:00:00,0.9,0.12,77,47
2020-12-09 21:00:00,0.8,0.11,77,47
2020-12-09 22:00:00,0.8,0.1,77,47
2020-12-09 23:00:00,1.3,0.16,77,47
