Date,Usage (kWh),Cost ($),Hi,Low
2020-10-05 00:00:00,1.9,0.23,79,68
2020-10-05 01:00:00,1.5,0.18,79,68
2020-10-05 02:00:00,1.4,0.16,79,68
2020-10-05 03:00:00,1.3,0.16,79,68
2020-10-05 04:00:00,1.2,0.15,79,68
2020-10-05 05:00:00,1.2,0.15,79,68
2020-10-05 06:00:00,1.2,0.14,79,68
2020-10-05 07:00:00,1.6,0.2,79,68
2020-10-05 08:00:00,1.3,0.16,79,68
2020-10-05 09:00:00,1.5,0.18,79,68
2020-10-05 10:00:00,1.4,0.17,79,68
2020-10-05 11:00:00,1.1,0.14,79,68
2020-10-05 12:00:00,2.2,0.26,79,68
2020-10-05 13:00:00,1.6,0.19,79,68
2020-10-05 14:00:00,3.2,0.39,79,68
2020-10-05 15:00:00,1.8,0.21,79,68
2020-10-05 16:00:00,2.2,0.27,79,68
2020-10-05 17:00:00,1.8,0.22,79,68
2020-10-05 18:00:00,1.5,0.18,79,68
2020-10-05 19:00:00,1.6,0.19,79,68
2020-10-05 20:00:00,2.3,0.28,79,68
2020-10-05 21:00:00,3.9,0.47,79,68
2020-10-05 22:00:00,2.2,0.26,79,68
2020-10-05 23:00:00,2.1,0.25,79,68
2020-10-06 00:00:00,1.5,0.18,84,67
2020-10-06 01:00:00,1.3,0.15,84,67
2020-10-06 02:00:00,1.2,0.15,84,67
2020-10-06 03:00:00,1.2,0.15,84,67
2020-10-06 04:00:00,1.2,0.14,84,67
2020-10-06 05:00:00,1.6,0.2,84,67
2020-10-06 06:00:00,0.9,0.11,84,67
2020-10-06 07:00:00,0.9,0.1,84,67
2020-10-06 08:00:00,1.3,0.15,84,67
2020-10-06 09:00:00,1.9,0.23,84,67
2020-10-06 10:00:00,2.3,0.28,84,67
2020-10-06 11:00:00,2.6,0.31,84,67
2020-10-06 12:00:00,1.5,0.19,84,67
2020-10-06 13:00:00,1.7,0.2,84,67
2020-10-06 14:00:00,1.6,0.2,84,67
2020-10-06 15:00:00,1.6,0.19,84,67
2020-10-06 16:00:00,1.6,0.19,84,67
2020-10-06 17:00:00,1.6,0.2,84,67
2020-10-06 18:00:00,2.4,0.29,84,67
2020-10-06 19:00:00,4.6,0.56,84,67
2020-10-06 20:00:00,3.2,0.39,84,67
2020-10-06 21:00:00,2.2,0.27,84,67
2020-10-06 22:00:00,3.0,0.37,84,67
2020-10-06 23:00:00,2.8,0.34,84,67
2020-10-07 00:00:00,1.5,0.18,85,65
2020-10-07 01:00:00,1.2,0.15,85,65
2020-10-07 02:00:00,1.1,0.14,85,65
2020-10-07 03:00:00,1.1,0.13,85,65
2020-10-07 04:00:00,1.1,0.13,85,65
2020-10-07 05:00:00,0.9,0.11,85,65
2020-10-07 06:00:00,1.4,0.17,85,65
2020-10-07 07:00:00,0.9,0.1,85,65
2020-10-07 08:00:00,0.8,0.09,85,65
2020-10-07 09:00:00,1.0,0.13,85,65
2020-10-07 10:00:00,1.3,0.16,85,65
2020-10-07 11:00:00,1.6,0.19,85,65
2020-10-07 12:00:00,2.3,0.28,85,65
2020-10-07 13:00:00,1.9,0.23,85,65
2020-10-07 14:00:00,1.7,0.2,85,65
2020-10-07 15:00:00,1.9,0.23,85,65
2020-10-07 16:00:00,1.9,0.22,85,65
2020-10-07 17:00:00,3.0,0.37,85,65
2020-10-07 18:00:00,2.1,0.25,85,65
2020-10-07 19:00:00,1.7,0.2,85,65
2020-10-07 20:00:00,1.8,0.21,85,65
2020-10-07 21:00:00,1.7,0.2,85,65
2020-10-07 22:00:00,1.9,0.23,85,65
2020-10-07 23:00:00,1.6,0.19,85,65
