Date,Usage (kWh),Cost ($),Hi,Low
2021-03-07 00:00:00,0.8,0.1,68,45
2021-03-07 01:00:00,0.4,0.06,68,45
2021-03-07 02:00:00,0.2,0.03,68,45
2021-03-07 03:00:00,0.2,0.03,68,45
2021-03-07 04:00:00,0.2,0.03,68,45
2021-03-07 05:00:00,0.2,0.03,68,45
2021-03-07 06:00:00,0.7,0.09,68,45
2021-03-07 07:00:00,0.3,0.04,68,45
2021-03-07 08:00:00,0.2,0.03,68,45
2021-03-07 09:00:00,0.2,0.03,68,45
2021-03-07 10:00:00,0.2,0.03,68,45
2021-03-07 11:00:00,0.2,0.03,68,45
2021-03-07 12:00:00,0.9,0.12,68,45
2021-03-07 13:00:00,0.6,0.08,68,45
2021-03-07 14:00:00,0.4,0.05,68,45
2021-03-07 15:00:00,0.8,0.1,68,45
2021-03-07 16:00:00,0.2,0.03,68,45
2021-03-07 17:00:00,0.4,0.06,68,45
2021-03-07 18:00:00,1.0,0.12,68,45
2021-03-07 19:00:00,0.4,0.06,68,45
2021-03-07 20:00:00,0.4,0.06,68,45
2021-03-07 21:00:00,0.5,0.06,68,45
2021-03-07 22:00:00,0.6,0.08,68,45
2021-03-07 23:00:00,0.8,0.1,68,45
2021-03-06 00:00:00,0.5,0.07,67,53
2021-03-06 01:00:00,0.4,0.05,67,53
2021-03-06 02:00:00,0.3,0.04,67,53
2021-03-06 03:00:00,0.3,0.03,67,53
2021-03-06 04:00:00,0.8,0.09,67,53
2021-03-06 05:00:00,0.3,0.03,67,53
2021-03-06 06:00:00,0.3,0.03,67,53
2021-03-06 07:00:00,0.2,0.03,67,53
2021-03-06 08:00:00,0.3,0.03,67,53
2021-03-06 09:00:00,0.3,0.03,67,53
2021-03-06 10:00:00,0.3,0.03,67,53
2021-03-06 11:00:00,0.5,0.06,67,53
2021-03-06 12:00:00,1.3,0.17,67,53
2021-03-06 13:00:00,1.3,0.16,67,53
2021-03-06 14:00:00,0.8,0.09,67,53
2021-03-06 15:00:00,1.0,0.13,67,53
2021-03-06 16:00:00,1.9,0.23,67,53
2021-03-06 17:00:00,2.9,0.35,67,53
2021-03-06 18:00:00,0.5,0.07,67,53
2021-03-06 19:00:00,0.5,0.06,67,53
2021-03-06 20:00:00,0.5,0.06,67,53
2021-03-06 21:00:00,1.2,0.15,67,53
2021-03-06 22:00:00,0.7,0.08,67,53
2021-03-06 23:00:00,0.7,0.09,67,53
2021-03-05 00:00:00,0.4,0.05,68,55
2021-03-05 01:00:00,0.3,0.04,68,55
2021-03-05 02:00:00,0.3,0.03,68,55
2021-03-05 03:00:00,0.3,0.04,68,55
2021-03-05 04:00:00,0.3,0.03,68,55
2021-03-05 05:00:00,0.3,0.03,68,55
2021-03-05 06:00:00,0.3,0.03,68,55
2021-03-05 07:00:00,0.2,0.03,68,55
2021-03-05 08:00:00,0.8,0.09,68,55
2021-03-05 09:00:00,0.3,0.03,68,55
2021-03-05 10:00:00,0.2,0.03,68,55
2021-03-05 11:00:00,0.3,0.03,68,55
2021-03-05 12:00:00,0.3,0.04,68,55
2021-03-05 13:00:00,0.4,0.05,68,55
2021-03-05 14:00:00,0.6,0.08,68,55
2021-03-05 15:00:00,0.6,0.08,68,55
2021-03-05 16:00:00,2.7,0.34,68,55
2021-03-05 17:00:00,0.3,0.04,68,55
2021-03-05 18:00:00,0.3,0.04,68,55
2021-03-05 19:00:00,1.1,0.14,68,55
2021-03-05 20:00:00,0.5,0.06,68,55
2021-03-05 21:00:00,0.7,0.09,68,55
2021-03-05 22:00:00,0.5,0.07,68,55
2021-03-05 23:00:00,0.5,0.07,68,55
2021-03-04 00:00:00,0.7,0.09,69,45
2021-03-04 01:00:00,0.3,0.04,69,45
2021-03-04 02:00:00,0.3,0.04,69,45
