Date,Usage (kWh),Cost ($),Hi,Low
2021-02-15 00:00:00,1.0,0.16,26,18
2021-02-15 01:00:00,1.3,0.21,26,18
2021-02-15 02:00:00,0.4,0.06,26,18
2021-02-15 03:00:00,0.0,0.0,26,18
2021-02-15 04:00:00,0.0,0.0,26,18
2021-02-15 05:00:00,0.0,0.0,26,18
2021-02-15 06:00:00,0.0,0.0,26,18
2021-02-15 07:00:00,0.0,0.0,26,18
2021-02-15 08:00:00,0.0,0.0,26,18
2021-02-15 09:00:00,0.0,0.0,26,18
2021-02-15 10:00:00,0.0,0.0,26,18
2021-02-15 11:00:00,0.0,0.0,26,18
2021-02-15 12:00:00,0.0,0.0,26,18
2021-02-15 13:00:00,0.0,0.0,26,18
2021-02-15 14:00:00,0.0,0.0,26,18
2021-02-15 15:00:00,0.0,0.0,26,18
2021-02-15 16:00:00,0.0,0.0,26,18
2021-02-15 17:00:00,0.0,0.0,26,18
2021-02-15 18:00:00,0.0,0.0,26,18
2021-02-15 19:00:00,0.0,0.0,26,18
2021-02-15 20:00:00,0.0,0.0,26,18
2021-02-15 21:00:00,0.0,0.0,26,18
2021-02-15 22:00:00,0.0,0.0,26,18
2021-02-15 23:00:00,0.0,0.0,26,18
2021-02-16 00:00:00,0.0,0.0,36,15
2021-02-16 01:00:00,0.0,0.0,36,15
2021-02-16 02:00:00,0.0,0.0,36,15
2021-02-16 03:00:00,0.0,0.0,36,15
2021-02-16 04:00:00,0.0,0.0,36,15
2021-02-16 05:00:00,0.0,0.0,36,15
2021-02-16 06:00:00,0.0,0.0,36,15
2021-02-16 07:00:00,0.0,0.0,36,15
2021-02-16 08:00:00,0.0,0.0,36,15
2021-02-16 09:00:00,0.0,0.0,36,15
2021-02-16 10:00:00,0.0,0.0,36,15
2021-02-16 11:00:00,0.0,0.0,36,15
2021-02-16 12:00:00,0.0,0.0,36,15
2021-02-16 13:00:00,9.5,1.16,36,15
2021-02-16 14:00:00,9.1,1.11,36,15
2021-02-16 15:00:00,8.7,1.06,36,15
2021-02-16 16:00:00,6.0,0.72,36,15
2021-02-16 17:00:00,3.6,0.43,36,15
2021-02-16 18:00:00,3.5,0.42,36,15
2021-02-16 19:00:00,3.7,0.44,36,15
2021-02-16 20:00:00,1.2,0.14,36,15
2021-02-16 21:00:00,3.5,0.42,36,15
2021-02-16 22:00:00,2.8,0.34,36,15
2021-02-16 23:00:00,3.3,0.4,36,15
2021-02-17 00:00:00,0.0,0.0,38,34
2021-02-17 01:00:00,0.0,0.0,38,34
2021-02-17 02:00:00,3.5,0.44,38,34
2021-02-17 03:00:00,2.8,0.35,38,34
2021-02-17 04:00:00,2.7,0.34,38,34
2021-02-17 05:00:00,1.9,0.24,38,34
2021-02-17 06:00:00,1.6,0.2,38,34
2021-02-17 07:00:00,2.0,0.24,38,34
2021-02-17 08:00:00,0.7,0.09,38,34
2021-02-17 09:00:00,1.5,0.19,38,34
2021-02-17 10:00:00,1.2,0.15,38,34
2021-02-17 11:00:00,2.5,0.31,38,34
2021-02-17 12:00:00,1.6,0.2,38,34
2021-02-17 13:00:00,1.5,0.18,38,34
2021-02-17 14:00:00,1.8,0.23,38,34
2021-02-17 15:00:00,1.2,0.15,38,34
2021-02-17 16:00:00,1.6,0.19,38,34
2021-02-17 17:00:00,1.8,0.23,38,34
2021-02-17 18:00:00,1.7,0.21,38,34
2021-02-17 19:00:00,1.5,0.18,38,34
2021-02-17 20:00:00,1.7,0.21,38,34
2021-02-17 21:00:00,2.0,0.25,38,34
2021-02-17 22:00:00,0.8,0.1,38,34
2021-02-17 23:00:00,1.1,0.13,38,34
2021-02-18 00:00:00,1.4,0.17,40,32
2021-02-18 01:00:00,1.1,0.14,40,32
2021-02-18 02:00:00,1.2,0.15,40,32
2021-02-18 03:00:00,2.0,0.24,40,32
2021-02-18 04:00:00,1.1,0.14,40,32
2021-02-18 05:00:00,1.1,0.14,40,32
2021-02-18 06:00:00,1.5,0.18,40,32
2021-02-18 07:00:00,1.5,0.19,40,32
2021-02-18 08:00:00,1.1,0.13,40,32
2021-02-18 09:00:00,1.4,0.17,40,32
2021-02-18 10:00:00,1.3,0.16,40,32
2021-02-18 11:00:00,1.6,0.2,40,32
2021-02-18 12:00:00,1.1,0.13,40,32
2021-02-18 13:00:00,1.0,0.12,40,32
2021-02-18 14:00:00,2.1,0.26,40,32
2021-02-18 15:00:00,0.7,0.09,40,32
2021-02-18 16:00:00,0.5,0.06,40,32
2021-02-18 17:00:00,1.9,0.23,40,32
2021-02-18 18:00:00,0.9,0.11,40,32
2021-02-18 19:00:00,1.6,0.19,40,32
2021-02-18 20:00:00,1.5,0.18,40,32
2021-02-18 21:00:00,1.4,0.17,40,32
2021-02-18 22:00:00,1.4,0.18,40,32
2021-02-18 23:00:00,1.5,0.18,40,32
2021-02-19 00:00:00,0.2,0.02,50,27
2021-02-19 01:00:00,0.5,0.06,50,27
2021-02-19 02:00:00,1.0,0.13,50,27
2021-02-19 03:00:00,1.0,0.13,50,27
2021-02-19 04:00:00,1.5,0.18,50,27
2021-02-19 05:00:00,1.0,0.13,50,27
2021-02-19 06:00:00,1.4,0.17,50,27
2021-02-19 07:00:00,0.8,0.1,50,27
2021-02-19 08:00:00,0.2,0.02,50,27
2021-02-19 09:00:00,0.2,0.02,50,27
2021-02-19 10:00:00,0.2,0.02,50,27
2021-02-19 11:00:00,1.4,0.18,50,27
2021-02-19 12:00:00,0.9,0.12,50,27
2021-02-19 13:00:00,0.4,0.05,50,27
2021-02-19 14:00:00,0.5,0.06,50,27
2021-02-19 15:00:00,4.0,0.49,50,27
2021-02-19 16:00:00,1.4,0.17,50,27
2021-02-19 17:00:00,1.6,0.19,50,27
2021-02-19 18:00:00,0.4,0.05,50,27
2021-02-19 19:00:00,0.5,0.06,50,27
2021-02-19 20:00:00,0.5,0.06,50,27
2021-02-19 21:00:00,0.5,0.07,50,27
2021-02-19 22:00:00,0.5,0.06,50,27
2021-02-19 23:00:00,0.5,0.06,50,27
