Date,Usage (kWh),Cost ($),Hi,Low
2020-08-31 00:00:00,1.0,0.12,96,83
2020-08-31 01:00:00,0.9,0.11,96,83
2020-08-31 02:00:00,0.9,0.11,96,83
2020-08-31 03:00:00,0.9,0.1,96,83
2020-08-31 04:00:00,0.9,0.1,96,83
2020-08-31 05:00:00,0.8,0.1,96,83
2020-08-31 06:00:00,0.9,0.11,96,83
2020-08-31 07:00:00,0.8,0.1,96,83
2020-08-31 08:00:00,1.5,0.18,96,83
2020-08-31 09:00:00,1.1,0.13,96,83
2020-08-31 10:00:00,1.4,0.16,96,83
2020-08-31 11:00:00,1.6,0.19,96,83
2020-08-31 12:00:00,1.5,0.17,96,83
2020-08-31 13:00:00,1.5,0.18,96,83
2020-08-31 14:00:00,1.5,0.17,96,83
2020-08-31 15:00:00,1.5,0.18,96,83
2020-08-31 16:00:00,1.5,0.18,96,83
2020-08-31 17:00:00,2.0,0.23,96,83
2020-08-31 18:00:00,2.9,0.35,96,83
2020-08-31 19:00:00,4.0,0.47,96,83
2020-08-31 20:00:00,2.4,0.28,96,83
2020-08-31 21:00:00,2.9,0.34,96,83
2020-08-31 22:00:00,1.4,0.16,96,83
2020-08-31 23:00:00,0.9,0.11,96,83
2020-09-01 00:00:00,1.0,0.12,95,84
2020-09-01 01:00:00,1.0,0.12,95,84
2020-09-01 02:00:00,1.0,0.11,95,84
2020-09-01 03:00:00,1.0,0.11,95,84
2020-09-01 04:00:00,1.4,0.16,95,84
2020-09-01 05:00:00,1.0,0.12,95,84
2020-09-01 06:00:00,0.8,0.1,95,84
2020-09-01 07:00:00,0.9,0.11,95,84
2020-09-01 08:00:00,1.0,0.12,95,84
2020-09-01 09:00:00,1.4,0.16,95,84
2020-09-01 10:00:00,1.4,0.17,95,84
2020-09-01 11:00:00,1.3,0.16,95,84
2020-09-01 12:00:00,1.3,0.15,95,84
2020-09-01 13:00:00,1.5,0.17,95,84
2020-09-01 14:00:00,2.0,0.23,95,84
2020-09-01 15:00:00,1.5,0.17,95,84
2020-09-01 16:00:00,1.2,0.14,95,84
2020-09-01 17:00:00,1.5,0.17,95,84
2020-09-01 18:00:00,1.3,0.15,95,84
2020-09-01 19:00:00,1.5,0.18,95,84
2020-09-01 20:00:00,1.1,0.13,95,84
2020-09-01 21:00:00,1.0,0.12,95,84
2020-09-01 22:00:00,1.0,0.12,95,84
2020-09-01 23:00:00,0.9,0.11,95,84
2020-09-02 00:00:00,1.2,0.14,96,82
2020-09-02 01:00:00,1.2,0.14,96,82
2020-09-02 02:00:00,1.0,0.12,96,82
2020-09-02 03:00:00,0.9,0.11,96,82
2020-09-02 04:00:00,0.9,0.11,96,82
2020-09-02 05:00:00,0.9,0.11,96,82
2020-09-02 06:00:00,0.8,0.1,96,82
2020-09-02 07:00:00,0.8,0.1,96,82
2020-09-02 08:00:00,1.0,0.12,96,82
2020-09-02 09:00:00,1.4,0.16,96,82
2020-09-02 10:00:00,1.4,0.16,96,82
2020-09-02 11:00:00,1.8,0.22,96,82
2020-09-02 12:00:00,1.2,0.14,96,82
2020-09-02 13:00:00,1.4,0.17,96,82
2020-09-02 14:00:00,1.3,0.15,96,82
2020-09-02 15:00:00,1.4,0.17,96,82
2020-09-02 16:00:00,1.2,0.14,96,82
2020-09-02 17:00:00,1.4,0.16,96,82
2020-09-02 18:00:00,1.2,0.14,96,82
2020-09-02 19:00:00,1.2,0.14,96,82
2020-09-02 20:00:00,1.4,0.17,96,82
2020-09-02 21:00:00,1.0,0.12,96,82
2020-09-02 22:00:00,1.5,0.17,96,82
2020-09-02 23:00:00,0.9,0.11,96,82
2020-09-03 00:00:00,0.9,0.1,95,83
2020-09-03 01:00:00,1.0,0.12,95,83
2020-09-03 02:00:00,0.9,0.11,95,83
2020-09-03 03:00:00,1.0,0.12,95,83
2020-09-03 04:00:00,0.9,0.1,95,83
2020-09-03 05:00:00,0.8,0.1,95,83
2020-09-03 06:00:00,0.8,0.09,95,83
2020-09-03 07:00:00,0.8,0.1,95,83
2020-09-03 08:00:00,1.3,0.16,95,83
2020-09-03 09:00:00,0.9,0.1,95,83
2020-09-03 10:00:00,1.0,0.12,95,83
2020-09-03 11:00:00,0.9,0.11,95,83
2020-09-03 12:00:00,1.1,0.13,95,83
2020-09-03 13:00:00,1.1,0.13,95,83
2020-09-03 14:00:00,1.0,0.12,95,83
2020-09-03 15:00:00,1.0,0.12,95,83
2020-09-03 16:00:00,1.2,0.14,95,83
2020-09-03 17:00:00,1.1,0.13,95,83
2020-09-03 18:00:00,0.9,0.11,95,83
2020-09-03 19:00:00,1.9,0.22,95,83
2020-09-03 20:00:00,2.1,0.26,95,83
2020-09-03 21:00:00,0.7,0.08,95,83
2020-09-03 22:00:00,0.8,0.1,95,83
2020-09-03 23:00:00,0.8,0.09,95,83
2020-09-04 00:00:00,0.8,0.09,92,81
2020-09-04 01:00:00,0.8,0.09,92,81
2020-09-04 02:00:00,0.7,0.08,92,81
2020-09-04 03:00:00,0.7,0.08,92,81
2020-09-04 04:00:00,0.7,0.09,92,81
2020-09-04 05:00:00,0.5,0.06,92,81
2020-09-04 06:00:00,1.2,0.14,92,81
2020-09-04 07:00:00,0.5,0.07,92,81
2020-09-04 08:00:00,0.9,0.11,92,81
2020-09-04 09:00:00,1.0,0.12,92,81
2020-09-04 10:00:00,1.2,0.14,92,81
2020-09-04 11:00:00,1.1,0.14,92,81
2020-09-04 12:00:00,1.0,0.13,92,81
2020-09-04 13:00:00,1.2,0.14,92,81
2020-09-04 14:00:00,1.1,0.13,92,81
2020-09-04 15:00:00,1.1,0.14,92,81
2020-09-04 16:00:00,1.1,0.13,92,81
2020-09-04 17:00:00,2.2,0.26,92,81
2020-09-04 18:00:00,3.2,0.38,92,81
2020-09-04 19:00:00,2.7,0.32,92,81
2020-09-04 20:00:00,3.3,0.4,92,81
2020-09-04 21:00:00,4.5,0.54,92,81
2020-09-04 22:00:00,3.5,0.42,92,81
2020-09-04 23:00:00,2.5,0.3,92,81
