Date,Usage (kWh),Cost ($),Hi,Low
2021-03-07 00:00:00,0.8,0.1,68,45
2021-03-07 01:00:00,0.4,0.06,68,45
2021-03-07 02:00:00,0.2,0.03,68,45
2021-03-07 03:00:00,0.2,0.03,68,45
2021-03-07 04:00:00,0.2,0.03,68,45
2021-03-07 05:00:00,0.2,0.03,68,45
2021-03-07 06:00:00,0.7,0.09,68,45
2021-03-07 07:00:00,0.3,0.04,68,45
2021-03-07 08:00:00,0.2,0.03,68,45
2021-03-07 09:00:00,0.2,0.03,68,45
2021-03-07 10:00:00,0.2,0.03,68,45
2021-03-07 11:00:00,0.2,0.03,68,45
2021-03-07 12:00:00,0.9,0.12,68,45
2021-03-07 13:00:00,0.6,0.08,68,45
2021-03-07 14:00:00,0.4,0.05,68,45
2021-03-07 15:00:00,0.8,0.1,68,45
2021-03-07 16:00:00,0.2,0.03,68,45
2021-03-07 17:00:00,0.4,0.06,68,45
2021-03-07 18:00:00,1.0,0.12,68,45
2021-03-07 19:00:00,0.4,0.06,68,45
2021-03-07 20:00:00,0.4,0.06,68,45
2021-03-07 21:00:00,0.5,0.06,68,45
2021-03-07 22:00:00,0.6,0.08,68,45
2021-03-07 23:00:00,0.8,0.1,68,45
2021-03-08 00:00:00,0.5,0.06,70,46
2021-03-08 01:00:00,0.8,0.09,70,46
2021-03-08 02:00:00,0.2,0.03,70,46
2021-03-08 03:00:00,0.2,0.03,70,46
2021-03-08 04:00:00,0.2,0.03,70,46
2021-03-08 05:00:00,0.2,0.03,70,46
2021-03-08 06:00:00,0.2,0.03,70,46
2021-03-08 07:00:00,0.2,0.03,70,46
2021-03-08 08:00:00,0.4,0.05,70,46
2021-03-08 09:00:00,0.7,0.08,70,46
2021-03-08 10:00:00,0.7,0.08,70,46
2021-03-08 11:00:00,1.3,0.16,70,46
2021-03-08 12:00:00,1.1,0.13,70,46
2021-03-08 13:00:00,0.9,0.11,70,46
2021-03-08 14:00:00,0.7,0.08,70,46
2021-03-08 15:00:00,0.8,0.1,70,46
2021-03-08 16:00:00,1.0,0.12,70,46
2021-03-08 17:00:00,1.0,0.13,70,46
2021-03-08 18:00:00,0.9,0.11,70,46
2021-03-08 19:00:00,1.4,0.17,70,46
2021-03-08 20:00:00,0.9,0.11,70,46
2021-03-08 21:00:00,2.0,0.24,70,46
2021-03-08 22:00:00,1.5,0.19,70,46
2021-03-08 23:00:00,1.0,0.12,70,46
2021-03-09 00:00:00,0.6,0.08,73,57
2021-03-09 01:00:00,0.4,0.05,73,57
2021-03-09 02:00:00,0.3,0.03,73,57
2021-03-09 03:00:00,0.3,0.03,73,57
2021-03-09 04:00:00,0.8,0.1,73,57
2021-03-09 05:00:00,0.2,0.03,73,57
2021-03-09 06:00:00,0.2,0.03,73,57
2021-03-09 07:00:00,0.5,0.06,73,57
2021-03-09 08:00:00,0.8,0.1,73,57
2021-03-09 09:00:00,0.8,0.1,73,57
2021-03-09 10:00:00,0.8,0.09,73,57
2021-03-09 11:00:00,0.6,0.07,73,57
2021-03-09 12:00:00,0.5,0.06,73,57
2021-03-09 13:00:00,2.0,0.24,73,57
2021-03-09 14:00:00,1.8,0.22,73,57
2021-03-09 15:00:00,1.8,0.22,73,57
2021-03-09 16:00:00,1.6,0.19,73,57
2021-03-09 17:00:00,0.7,0.09,73,57
2021-03-09 18:00:00,1.0,0.12,73,57
2021-03-09 19:00:00,0.9,0.1,73,57
2021-03-09 20:00:00,2.4,0.3,73,57
2021-03-09 21:00:00,1.7,0.21,73,57
2021-03-09 22:00:00,1.5,0.18,73,57
2021-03-09 23:00:00,0.9,0.11,73,57
2021-03-10 00:00:00,0.7,0.09,76,63
2021-03-10 01:00:00,1.1,0.13,76,63
2021-03-10 02:00:00,0.4,0.05,76,63
