Date,Usage (kWh),Cost ($),Hi,Low
2020-09-28 00:00:00,2.0,0.24,80,69
2020-09-28 01:00:00,1.6,0.19,80,69
2020-09-28 02:00:00,1.5,0.18,80,69
2020-09-28 03:00:00,1.3,0.15,80,69
2020-09-28 04:00:00,1.9,0.23,80,69
2020-09-28 05:00:00,1.2,0.15,80,69
2020-09-28 06:00:00,1.2,0.14,80,69
2020-09-28 07:00:00,1.2,0.14,80,69
2020-09-28 08:00:00,1.6,0.2,80,69
2020-09-28 09:00:00,1.6,0.19,80,69
2020-09-28 10:00:00,1.5,0.18,80,69
2020-09-28 11:00:00,1.6,0.19,80,69
2020-09-28 12:00:00,1.7,0.2,80,69
2020-09-28 13:00:00,1.6,0.19,80,69
2020-09-28 14:00:00,3.1,0.37,80,69
2020-09-28 15:00:00,2.6,0.31,80,69
2020-09-28 16:00:00,1.6,0.19,80,69
2020-09-28 17:00:00,1.6,0.19,80,69
2020-09-28 18:00:00,1.7,0.2,80,69
2020-09-28 19:00:00,2.1,0.26,80,69
2020-09-28 20:00:00,2.0,0.23,80,69
2020-09-28 21:00:00,2.4,0.29,80,69
2020-09-28 22:00:00,1.4,0.17,80,69
2020-09-28 23:00:00,1.2,0.14,80,69
2020-09-29 00:00:00,1.7,0.2,80,59
2020-09-29 01:00:00,1.2,0.15,80,59
2020-09-29 02:00:00,1.2,0.15,80,59
2020-09-29 03:00:00,1.2,0.14,80,59
2020-09-29 04:00:00,1.6,0.2,80,59
2020-09-29 05:00:00,0.8,0.1,80,59
2020-09-29 06:00:00,1.0,0.12,80,59
2020-09-29 07:00:00,0.6,0.07,80,59
2020-09-29 08:00:00,0.4,0.05,80,59
2020-09-29 09:00:00,1.3,0.15,80,59
2020-09-29 10:00:00,1.9,0.23,80,59
2020-09-29 11:00:00,1.6,0.19,80,59
2020-09-29 12:00:00,1.7,0.2,80,59
2020-09-29 13:00:00,1.6,0.2,80,59
2020-09-29 14:00:00,1.6,0.19,80,59
2020-09-29 15:00:00,1.5,0.19,80,59
2020-09-29 16:00:00,1.6,0.19,80,59
2020-09-29 17:00:00,1.5,0.18,80,59
2020-09-29 18:00:00,1.5,0.18,80,59
2020-09-29 19:00:00,1.5,0.19,80,59
2020-09-29 20:00:00,2.8,0.35,80,59
2020-09-29 21:00:00,1.9,0.23,80,59
2020-09-29 22:00:00,1.5,0.19,80,59
2020-09-29 23:00:00,1.4,0.17,80,59
2020-09-30 00:00:00,0.9,0.11,83,59
2020-09-30 01:00:00,0.9,0.11,83,59
2020-09-30 02:00:00,1.0,0.12,83,59
2020-09-30 03:00:00,1.0,0.13,83,59
2020-09-30 04:00:00,0.7,0.09,83,59
2020-09-30 05:00:00,0.6,0.07,83,59
2020-09-30 06:00:00,0.6,0.07,83,59
2020-09-30 07:00:00,0.7,0.08,83,59
2020-09-30 08:00:00,1.2,0.15,83,59
2020-09-30 09:00:00,1.5,0.19,83,59
2020-09-30 10:00:00,1.9,0.23,83,59
2020-09-30 11:00:00,2.1,0.26,83,59
2020-09-30 12:00:00,1.9,0.23,83,59
2020-09-30 13:00:00,1.7,0.2,83,59
2020-09-30 14:00:00,1.8,0.22,83,59
2020-09-30 15:00:00,1.6,0.19,83,59
