Date,Usage (kWh),Cost ($),Hi,Low
2020-10-26 00:00:00,1.8,0.21,80,72
2020-10-26 01:00:00,1.5,0.17,80,72
2020-10-26 02:00:00,1.6,0.19,80,72
2020-10-26 03:00:00,1.5,0.18,80,72
2020-10-26 04:00:00,1.4,0.17,80,72
2020-10-26 05:00:00,1.5,0.17,80,72
2020-10-26 06:00:00,1.3,0.16,80,72
2020-10-26 07:00:00,1.3,0.16,80,72
2020-10-26 08:00:00,1.5,0.18,80,72
2020-10-26 09:00:00,0.7,0.08,80,72
2020-10-26 10:00:00,1.7,0.21,80,72
2020-10-26 11:00:00,1.7,0.2,80,72
2020-10-26 12:00:00,2.4,0.29,80,72
2020-10-26 13:00:00,2.2,0.26,80,72
2020-10-26 14:00:00,4.2,0.51,80,72
2020-10-26 15:00:00,2.5,0.3,80,72
2020-10-26 16:00:00,1.7,0.2,80,72
2020-10-26 17:00:00,1.7,0.2,80,72
2020-10-26 18:00:00,1.6,0.19,80,72
2020-10-26 19:00:00,2.4,0.29,80,72
2020-10-26 20:00:00,4.5,0.54,80,72
2020-10-26 21:00:00,3.1,0.37,80,72
2020-10-26 22:00:00,1.8,0.22,80,72
2020-10-26 23:00:00,1.8,0.22,80,72
2020-10-27 00:00:00,2.3,0.29,72,64
2020-10-27 01:00:00,1.2,0.15,72,64
2020-10-27 02:00:00,1.1,0.14,72,64
2020-10-27 03:00:00,1.1,0.14,72,64
2020-10-27 04:00:00,1.1,0.13,72,64
2020-10-27 05:00:00,1.0,0.12,72,64
2020-10-27 06:00:00,0.8,0.1,72,64
2020-10-27 07:00:00,0.8,0.1,72,64
2020-10-27 08:00:00,1.2,0.14,72,64
2020-10-27 09:00:00,0.7,0.09,72,64
2020-10-27 10:00:00,0.7,0.09,72,64
2020-10-27 11:00:00,0.7,0.09,72,64
2020-10-27 12:00:00,0.8,0.09,72,64
2020-10-27 13:00:00,0.8,0.09,72,64
2020-10-27 14:00:00,1.8,0.22,72,64
2020-10-27 15:00:00,1.4,0.18,72,64
2020-10-27 16:00:00,1.4,0.17,72,64
2020-10-27 17:00:00,1.4,0.18,72,64
2020-10-27 18:00:00,1.9,0.23,72,64
2020-10-27 19:00:00,3.0,0.37,72,64
2020-10-27 20:00:00,1.1,0.13,72,64
2020-10-27 21:00:00,0.8,0.1,72,64
2020-10-27 22:00:00,1.2,0.15,72,64
2020-10-27 23:00:00,0.5,0.06,72,64
2020-10-28 00:00:00,0.4,0.06,61,50
2020-10-28 01:00:00,0.4,0.06,61,50
2020-10-28 02:00:00,0.4,0.06,61,50
2020-10-28 03:00:00,0.4,0.06,61,50
2020-10-28 04:00:00,0.4,0.06,61,50
2020-10-28 05:00:00,0.4,0.05,61,50
2020-10-28 06:00:00,0.4,0.06,61,50
2020-10-28 07:00:00,0.9,0.11,61,50
2020-10-28 08:00:00,0.7,0.09,61,50
2020-10-28 09:00:00,0.7,0.09,61,50
2020-10-28 10:00:00,0.7,0.09,61,50
2020-10-28 11:00:00,0.7,0.09,61,50
2020-10-28 12:00:00,0.7,0.09,61,50
2020-10-28 13:00:00,1.2,0.15,61,50
2020-10-28 14:00:00,0.9,0.12,61,50
2020-10-28 15:00:00,1.6,0.2,61,50
2020-10-28 16:00:00,0.8,0.1,61,50
2020-10-28 17:00:00,0.8,0.1,61,50
2020-10-28 18:00:00,1.9,0.24,61,50
2020-10-28 19:00:00,2.2,0.28,61,50
2020-10-28 20:00:00,0.7,0.09,61,50
2020-10-28 21:00:00,1.5,0.19,61,50
2020-10-28 22:00:00,1.4,0.17,61,50
2020-10-28 23:00:00,0.7,0.08,61,50
2020-10-29 00:00:00,0.4,0.05,62,45
2020-10-29 01:00:00,0.4,0.05,62,45
2020-10-29 02:00:00,0.4,0.05,62,45
2020-10-29 03:00:00,0.4,0.05,62,45
2020-10-29 04:00:00,0.9,0.11,62,45
2020-10-29 05:00:00,0.4,0.05,62,45
2020-10-29 06:00:00,0.4,0.05,62,45
2020-10-29 07:00:00,0.4,0.05,62,45
2020-10-29 08:00:00,1.7,0.21,62,45
2020-10-29 09:00:00,0.9,0.12,62,45
2020-10-29 10:00:00,0.5,0.07,62,45
2020-10-29 11:00:00,0.5,0.06,62,45
2020-10-29 12:00:00,0.6,0.08,62,45
2020-10-29 13:00:00,0.6,0.08,62,45
2020-10-29 14:00:00,0.7,0.09,62,45
2020-10-29 15:00:00,0.7,0.09,62,45
2020-10-29 16:00:00,0.6,0.08,62,45
2020-10-29 17:00:00,0.7,0.09,62,45
2020-10-29 18:00:00,1.2,0.15,62,45
2020-10-29 19:00:00,1.8,0.22,62,45
2020-10-29 20:00:00,1.3,0.16,62,45
2020-10-29 21:00:00,1.1,0.13,62,45
2020-10-29 22:00:00,1.0,0.12,62,45
2020-10-29 23:00:00,0.6,0.07,62,45
2020-10-30 00:00:00,0.4,0.05,63,48
2020-10-30 01:00:00,0.4,0.05,63,48
2020-10-30 02:00:00,0.4,0.05,63,48
2020-10-30 03:00:00,0.4,0.05,63,48
2020-10-30 04:00:00,0.4,0.05,63,48
2020-10-30 05:00:00,0.4,0.05,63,48
2020-10-30 06:00:00,0.4,0.05,63,48
2020-10-30 07:00:00,0.9,0.11,63,48
2020-10-30 08:00:00,0.6,0.07,63,48
2020-10-30 09:00:00,0.8,0.1,63,48
2020-10-30 10:00:00,0.8,0.1,63,48
2020-10-30 11:00:00,0.8,0.1,63,48
2020-10-30 12:00:00,0.7,0.09,63,48
2020-10-30 13:00:00,0.7,0.09,63,48
2020-10-30 14:00:00,0.8,0.1,63,48
2020-10-30 15:00:00,1.3,0.16,63,48
2020-10-30 16:00:00,1.0,0.12,63,48
2020-10-30 17:00:00,0.9,0.11,63,48
2020-10-30 18:00:00,0.8,0.1,63,48
2020-10-30 19:00:00,0.8,0.1,63,48
2020-10-30 20:00:00,0.8,0.1,63,48
2020-10-30 21:00:00,1.4,0.18,63,48
2020-10-30 22:00:00,0.8,0.11,63,48
2020-10-30 23:00:00,0.8,0.1,63,48
2020-10-31 00:00:00,0.7,0.08,75,48
2020-10-31 01:00:00,0.6,0.08,75,48
2020-10-31 02:00:00,0.5,0.06,75,48
2020-10-31 03:00:00,0.5,0.06,75,48
2020-10-31 04:00:00,0.5,0.06,75,48
2020-10-31 05:00:00,0.5,0.06,75,48
2020-10-31 06:00:00,0.4,0.06,75,48
2020-10-31 07:00:00,0.9,0.12,75,48
2020-10-31 08:00:00,0.4,0.06,75,48
2020-10-31 09:00:00,0.4,0.05,75,48
2020-10-31 10:00:00,0.4,0.06,75,48
2020-10-31 11:00:00,0.4,0.06,75,48
2020-10-31 12:00:00,0.5,0.07,75,48
2020-10-31 13:00:00,0.9,0.12,75,48
2020-10-31 14:00:00,0.9,0.12,75,48
2020-10-31 15:00:00,1.6,0.2,75,48
2020-10-31 16:00:00,0.7,0.09,75,48
2020-10-31 17:00:00,0.8,0.1,75,48
2020-10-31 18:00:00,0.7,0.09,75,48
2020-10-31 19:00:00,0.8,0.11,75,48
2020-10-31 20:00:00,0.8,0.1,75,48
2020-10-31 21:00:00,0.5,0.07,75,48
2020-10-31 22:00:00,0.5,0.06,75,48
2020-10-31 23:00:00,0.5,0.06,75,48
