Date,Usage (kWh),Cost ($),Hi,Low
2021-01-18 00:00:00,0.4,0.05,69,40
2021-01-18 01:00:00,0.4,0.05,69,40
2021-01-18 02:00:00,0.4,0.05,69,40
2021-01-18 03:00:00,0.4,0.05,69,40
2021-01-18 04:00:00,0.4,0.05,69,40
2021-01-18 05:00:00,0.4,0.05,69,40
2021-01-18 06:00:00,0.9,0.12,69,40
2021-01-18 07:00:00,0.4,0.05,69,40
2021-01-18 08:00:00,0.4,0.05,69,40
2021-01-18 09:00:00,0.5,0.07,69,40
2021-01-18 10:00:00,0.6,0.08,69,40
2021-01-18 11:00:00,2.0,0.26,69,40
2021-01-18 12:00:00,0.5,0.06,69,40
2021-01-18 13:00:00,1.2,0.15,69,40
2021-01-18 14:00:00,0.7,0.09,69,40
2021-01-18 15:00:00,1.2,0.15,69,40
2021-01-18 16:00:00,1.3,0.16,69,40
2021-01-18 17:00:00,0.9,0.12,69,40
2021-01-18 18:00:00,0.8,0.1,69,40
2021-01-18 19:00:00,0.7,0.09,69,40
2021-01-18 20:00:00,0.7,0.09,69,40
2021-01-18 21:00:00,0.7,0.09,69,40
2021-01-18 22:00:00,0.6,0.08,69,40
2021-01-18 23:00:00,1.0,0.13,69,40
2021-01-19 00:00:00,0.4,0.05,75,59
2021-01-19 01:00:00,0.3,0.04,75,59
2021-01-19 02:00:00,0.3,0.04,75,59
2021-01-19 03:00:00,0.4,0.04,75,59
2021-01-19 04:00:00,0.3,0.04,75,59
2021-01-19 05:00:00,0.4,0.06,75,59
2021-01-19 06:00:00,0.6,0.07,75,59
2021-01-19 07:00:00,0.6,0.07,75,59
2021-01-19 08:00:00,1.1,0.14,75,59
2021-01-19 09:00:00,0.7,0.09,75,59
2021-01-19 10:00:00,0.7,0.09,75,59
2021-01-19 11:00:00,1.6,0.2,75,59
2021-01-19 12:00:00,0.7,0.09,75,59
2021-01-19 13:00:00,0.9,0.11,75,59
2021-01-19 14:00:00,0.7,0.08,75,59
2021-01-19 15:00:00,0.7,0.09,75,59
2021-01-19 16:00:00,0.7,0.08,75,59
2021-01-19 17:00:00,1.1,0.14,75,59
2021-01-19 18:00:00,0.4,0.06,75,59
2021-01-19 19:00:00,4.2,0.52,75,59
2021-01-19 20:00:00,5.6,0.71,75,59
2021-01-19 21:00:00,3.1,0.38,75,59
2021-01-19 22:00:00,1.4,0.18,75,59
2021-01-19 23:00:00,0.6,0.07,75,59
