Date,Usage (kWh),Cost ($),Hi,Low
2020-10-19 00:00:00,2.1,0.25,85,76
2020-10-19 01:00:00,1.9,0.23,85,76
2020-10-19 02:00:00,2.2,0.27,85,76
2020-10-19 03:00:00,1.5,0.18,85,76
2020-10-19 04:00:00,1.4,0.17,85,76
2020-10-19 05:00:00,1.3,0.16,85,76
2020-10-19 06:00:00,1.4,0.17,85,76
2020-10-19 07:00:00,1.3,0.15,85,76
2020-10-19 08:00:00,1.5,0.18,85,76
2020-10-19 09:00:00,1.1,0.14,85,76
2020-10-19 10:00:00,2.4,0.29,85,76
2020-10-19 11:00:00,1.8,0.22,85,76
2020-10-19 12:00:00,3.1,0.38,85,76
2020-10-19 13:00:00,3.1,0.38,85,76
2020-10-19 14:00:00,1.9,0.23,85,76
2020-10-19 15:00:00,1.9,0.23,85,76
2020-10-19 16:00:00,2.0,0.25,85,76
2020-10-19 17:00:00,1.8,0.22,85,76
2020-10-19 18:00:00,1.9,0.23,85,76
2020-10-19 19:00:00,2.4,0.29,85,76
2020-10-19 20:00:00,2.8,0.35,85,76
2020-10-19 21:00:00,3.0,0.36,85,76
2020-10-19 22:00:00,1.8,0.21,85,76
2020-10-19 23:00:00,2.1,0.26,85,76
2020-10-20 00:00:00,1.3,0.16,86,73
2020-10-20 01:00:00,1.3,0.15,86,73
2020-10-20 02:00:00,1.2,0.14,86,73
2020-10-20 03:00:00,1.1,0.14,86,73
2020-10-20 04:00:00,1.1,0.14,86,73
2020-10-20 05:00:00,1.2,0.15,86,73
2020-10-20 06:00:00,1.1,0.13,86,73
2020-10-20 07:00:00,1.0,0.13,86,73
2020-10-20 08:00:00,1.7,0.2,86,73
2020-10-20 09:00:00,1.4,0.17,86,73
2020-10-20 10:00:00,1.9,0.23,86,73
2020-10-20 11:00:00,1.0,0.12,86,73
2020-10-20 12:00:00,2.3,0.28,86,73
2020-10-20 13:00:00,1.5,0.19,86,73
2020-10-20 14:00:00,1.7,0.21,86,73
2020-10-20 15:00:00,2.5,0.3,86,73
2020-10-20 16:00:00,2.5,0.3,86,73
2020-10-20 17:00:00,2.8,0.34,86,73
2020-10-20 18:00:00,2.1,0.26,86,73
2020-10-20 19:00:00,3.6,0.44,86,73
2020-10-20 20:00:00,2.5,0.3,86,73
2020-10-20 21:00:00,2.5,0.31,86,73
2020-10-20 22:00:00,2.8,0.34,86,73
2020-10-20 23:00:00,1.8,0.23,86,73
2020-10-21 00:00:00,1.4,0.17,84,73
2020-10-21 01:00:00,1.4,0.17,84,73
2020-10-21 02:00:00,1.8,0.23,84,73
2020-10-21 03:00:00,1.1,0.14,84,73
2020-10-21 04:00:00,1.0,0.13,84,73
2020-10-21 05:00:00,1.1,0.13,84,73
2020-10-21 06:00:00,1.1,0.14,84,73
2020-10-21 07:00:00,0.9,0.12,84,73
2020-10-21 08:00:00,1.3,0.16,84,73
2020-10-21 09:00:00,1.4,0.17,84,73
2020-10-21 10:00:00,1.8,0.22,84,73
2020-10-21 11:00:00,2.2,0.27,84,73
2020-10-21 12:00:00,2.1,0.26,84,73
2020-10-21 13:00:00,2.6,0.31,84,73
